2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:45:44.164 [http-nio-8080-exec-7] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:45:44.186 [http-nio-8080-exec-7] INFO  c.e.demo.service.CustomerService - Successfully retrieved 1 customers on page 0
2025-07-11 09:45:56.604 [http-nio-8080-exec-8] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=United Kingdom, city=Southend-on-Se} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=United Kingdom, city=Southend-on-Se} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'city' and value: 'Southend-on-Se'
2025-07-11 09:45:56.606 [http-nio-8080-exec-8] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:45:56.611 [http-nio-8080-exec-8] INFO  c.e.demo.service.CustomerService - Successfully retrieved 0 customers on page 0
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
